Glaciaxion.SunsetRay.0	Glaciaxion	SunsetRay	艾若拉	15.420000076293945	42.849998474121094	Barbarianerman	阿爽 fixed by Clutter	Barbarianerman vs. NerSAN	
EradicationCatastrophe.NceS.0	Eradication Catastrophe	NceS	海产	48.012001037597656	60.013999938964844	Barbarianerman	Barbarianerman fixed by Clutter	Barbarianerman	
Credits.Frums.0	Credits	Frums	Ctymax	32.0	47.0	Ctymax	Ctymax	Ctymax	_鉄 (Isotope 59)
Dlyrotz.Likey.0	Dlyrotz	Likey	DoublePian	23.0	38.0	Su1fuR	Su1fuR	XMT小咩兔 vs. Barbarianerman	
EnginexStartmelodymix.CrossingSound.0	Engine x Start!! (melody mix)	CrossingSound	赤芽	47.7400016784668	69.66999816894531	Clutter	Clutter	阿爽	
光.姜米條.0	光	姜米條	winder	63.33000183105469	97.33000183105469	Catcats & 百九十八 fixed by Clutter	Catcats & 百九十八 fixed by Clutter	Catcats & 百九十八	
Wintercube.CtymaxfeatNceS.0	Winter ↑cube↓	Ctymax feat. NceS	翠冷兮	9.5	24.5	Ctymax after 7 years	Salt	百九十八	
Cipher20.TetrajectoryfeatCtymax.0	Cipher : /2&//<|0	Tetrajectory feat. Ctymax	IvyTowers	37.540000915527344	60.33000183105469	M3d1uM	M3d1uM	Barbarianerman feat. Gausbon	
混乱Confusion.OnlyMyBlackScore.0	混乱-Confusion	Only My Black Score	L-sp4	77.33000183105469	100.0	StR-1	StR-1	XMT小咩兔	
FULiAUTOSHOOTER.MYUKKE.0	FULi AUTO SHOOTER	MYUKKE.	ViscerA & Psycholine	53.78099822998047	67.86199951171875	Knight	Knight	AUTO. SHOOTER. fixed by Ctymax	
HumaN.SOTUI.0	HumaN	SOTUI	CH	84.98899841308594	101.3280029296875	Clutter	Clutter	CN_115+TangScend	
PRAW.Bluewind.0	[PRAW]	Bluewind	老张	129.13999938964844	149.7100067138672	Likey	Likey	晨 vs. 阿爽	
PixelRebelz.Normal1zer.0	Pixel Rebelz	Normal1zer	艾是Abby	110.4000015258789	139.1999969482422	Knight	Knight	NerSAN	
Cereris.SunsetRayNceS.0	Cereris	SunsetRay/NceS	IvyTowers	57.58000183105469	73.66999816894531	Su1fuR	Su1fuR	StupiGGy	
NonMelodicRagezMUGEdit.Normal1zer.0	Non-Melodic Ragez (MUG Edit)	Normal1zer	cycats	63.084999084472656	76.68199920654297	Clutter	Clutter	分化者 fixed by Barbarianerman	
SultanRage.MonstDeath.0	Sultan Rage	MonstDeath	笔记RE	15.869999885559082	30.8700008392334	百九十八	百九十八	百九十八	
ClassMemories.AntistarfeatCtymax.0	Class Memories	Antistar feat. Ctymax	xperz	73.5	92.5	M3d1uM	M3d1uM	JKy	
SURREALISM.Itsuki.0	-SURREALISM-	Itsuki	喵n葵	54.66600036621094	68.0	Su1fuR	Su1fuR	-StupiGGy- fixed by 晨	
BonusTime.MegaloPaleWhite.0	Bonus Time	Megalo_PaleWhite	笔记RE	23.360000610351562	38.36000061035156	Clutter	Clutter	Uvernight fixed by 百九十八	
ENERGYSYNERGYMATRIX.Tanchiky.0	ENERGY SYNERGY MATRIX	Tanchiky	Karameru	85.5260009765625	99.12000274658203	Su1fuR	Su1fuR	Ctymax vs. 阿爽  fixed by B B M pow	
NYA.FLuoRiTe姜米條.0	NYA!!! (Phigros ver.)	FLuoRiTe/姜米條	NEKO&海产	39.349998474121094	51.810001373291016	HCC!!!	HCC!!!	HCC!!!	
JunXionBetweenLifeAndDeathVIPMix.1N6Fs.0	JunXion Between Life And Death(VIP Mix)	1N6Fs	IvyTowers	111.21900177001953	126.21900177001953	鲲&百九十八	鲲&百九十八	鲲&百九十八	
cryout.JuE.0	cryout	Ju_E	Haight	54.0	69.0	Ctymax	Ctymax	Ctymax but 5 years later	
Reimei.影虎.0	Reimei	影虎。	英英英	95.67500305175781	110.67500305175781	百九十八	百九十八	百九十八	
尊師TheGuru.rider.0	尊師 ～The Guru～	rider	1B	91.56900024414062	113.74099731445312	M3d1uM	M3d1uM	奥術 ~The Empery~	
